Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
Malaysia,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,1006.9,1616.1,3052.9,2542.2,2383.7
Malaysia,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,1444.7,1217.5,1285.4,1289.3,1308.6
Malaysia,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,1547.9,2452.5,2249.5,1660.2,1245.1
Malaysia,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,1621.3,2002.3,1928.2,1559.5,1216.4
Malaysia,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,251.5,1232.5,927,648.9,441.3
Malaysia,Mobile Phones,Honor (Shenzhen Zhixin New Information Technology Co Ltd),Shenzhen Zhixin New Information Technology Co Ltd,Retail Volume,000 units,-,-,49.5,168.1,396.9
Malaysia,Mobile Phones,Infinix (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,-,-,-,77.5,197.5
Malaysia,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,196.1,153.9,123.1,110.8,111.1
Malaysia,Mobile Phones,Tecno (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,-,-,-,17.6,24.9
Malaysia,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,1474.3,494.5,13,10.6,9.5
Malaysia,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,63.7,37.7,15.1,3.8,3.5
Malaysia,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,193.7,38.7,15.5,3.1,2.5
Malaysia,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,9,2.5,2.3,1.1,0.3
Malaysia,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,39.9,7.3,2.9,0.3,0.3
